facility_id,facility_name,state,dashboard_measure_group,favorable_percent,survey_weight,included_rows,excluded_rows
100086,BROWARD HEALTH NORTH,FL,Medicine Communication,55.00,1977,3,0
101304,CALHOUN-LIBERTY HOSPITAL,FL,Discharge Information,,0,0,3
101304,CALHOUN-LIBERTY HOSPITAL,FL,Nurse Communication,,0,0,4
101304,CALHOUN-LIBERTY HOSPITAL,FL,Doctor Communication,,0,0,4
101304,CALHOUN-LIBERTY HOSPITAL,FL,Recommendation,,0,0,1
101304,CALHOUN-LIBERTY HOSPITAL,FL,Overall Rating,,0,0,1
101304,CALHOUN-LIBERTY HOSPITAL,FL,Medicine Communication,,0,0,3
100177,CAPE CANAVERAL HOSPITAL,FL,Discharge Information,82.33,1569,3,0
100177,CAPE CANAVERAL HOSPITAL,FL,Nurse Communication,76.75,2092,4,0
100177,CAPE CANAVERAL HOSPITAL,FL,Doctor Communication,73.75,2092,4,0
100177,CAPE CANAVERAL HOSPITAL,FL,Recommendation,70.00,523,1,0
100177,CAPE CANAVERAL HOSPITAL,FL,Overall Rating,66.00,523,1,0
100177,CAPE CANAVERAL HOSPITAL,FL,Medicine Communication,60.33,1569,3,0
100244,CAPE CORAL HOSPITAL,FL,Discharge Information,87.00,6024,3,0
100244,CAPE CORAL HOSPITAL,FL,Nurse Communication,76.75,8032,4,0
100244,CAPE CORAL HOSPITAL,FL,Doctor Communication,73.75,8032,4,0
100244,CAPE CORAL HOSPITAL,FL,Recommendation,70.00,2008,1,0
100244,CAPE CORAL HOSPITAL,FL,Overall Rating,68.00,2008,1,0
100244,CAPE CORAL HOSPITAL,FL,Medicine Communication,55.33,6024,3,0
100161,CENTRAL FLORIDA LAKE MONROE HOSPITAL,FL,Discharge Information,78.00,1995,3,0
100161,CENTRAL FLORIDA LAKE MONROE HOSPITAL,FL,Nurse Communication,67.75,2660,4,0
100161,CENTRAL FLORIDA LAKE MONROE HOSPITAL,FL,Doctor Communication,67.00,2660,4,0
100161,CENTRAL FLORIDA LAKE MONROE HOSPITAL,FL,Recommendation,54.00,665,1,0
100161,CENTRAL FLORIDA LAKE MONROE HOSPITAL,FL,Overall Rating,59.00,665,1,0
100161,CENTRAL FLORIDA LAKE MONROE HOSPITAL,FL,Medicine Communication,50.00,1995,3,0
100289,CLEVELAND CLINIC HOSPITAL,FL,Discharge Information,86.00,3294,3,0
100289,CLEVELAND CLINIC HOSPITAL,FL,Nurse Communication,77.25,4392,4,0
100289,CLEVELAND CLINIC HOSPITAL,FL,Doctor Communication,80.25,4392,4,0
100289,CLEVELAND CLINIC HOSPITAL,FL,Recommendation,80.00,1098,1,0
100289,CLEVELAND CLINIC HOSPITAL,FL,Overall Rating,77.00,1098,1,0
100289,CLEVELAND CLINIC HOSPITAL,FL,Medicine Communication,59.33,3294,3,0
100105,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,FL,Discharge Information,83.00,5235,3,0
100105,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,FL,Nurse Communication,73.75,6980,4,0
100105,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,FL,Doctor Communication,74.50,6980,4,0
100105,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,FL,Recommendation,58.00,1745,1,0
100105,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,FL,Overall Rating,57.00,1745,1,0
100105,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,FL,Medicine Communication,52.00,5235,3,0
100044,CLEVELAND CLINIC MARTIN NORTH HOSPITAL,FL,Discharge Information,84.00,6993,3,0
100044,CLEVELAND CLINIC MARTIN NORTH HOSPITAL,FL,Nurse Communication,72.75,9324,4,0
100044,CLEVELAND CLINIC MARTIN NORTH HOSPITAL,FL,Doctor Communication,74.00,9324,4,0
100044,CLEVELAND CLINIC MARTIN NORTH HOSPITAL,FL,Recommendation,61.00,2331,1,0
100044,CLEVELAND CLINIC MARTIN NORTH HOSPITAL,FL,Overall Rating,60.00,2331,1,0
100044,CLEVELAND CLINIC MARTIN NORTH HOSPITAL,FL,Medicine Communication,54.00,6993,3,0
100183,CORAL GABLES HOSPITAL,FL,Discharge Information,85.33,537,3,0
100183,CORAL GABLES HOSPITAL,FL,Nurse Communication,77.00,716,4,0
100183,CORAL GABLES HOSPITAL,FL,Doctor Communication,76.25,716,4,0
100183,CORAL GABLES HOSPITAL,FL,Recommendation,64.00,179,1,0
100183,CORAL GABLES HOSPITAL,FL,Overall Rating,56.00,179,1,0
100183,CORAL GABLES HOSPITAL,FL,Medicine Communication,63.00,537,3,0
100258,DELRAY MEDICAL CENTER,FL,Discharge Information,69.67,5184,3,0
100258,DELRAY MEDICAL CENTER,FL,Nurse Communication,60.00,6912,4,0
100258,DELRAY MEDICAL CENTER,FL,Doctor Communication,62.00,6912,4,0
100258,DELRAY MEDICAL CENTER,FL,Recommendation,45.00,1728,1,0
100258,DELRAY MEDICAL CENTER,FL,Overall Rating,46.00,1728,1,0
100258,DELRAY MEDICAL CENTER,FL,Medicine Communication,44.67,5184,3,0
100175,DESOTO MEMORIAL HOSPITAL,FL,Discharge Information,88.00,375,3,0
100175,DESOTO MEMORIAL HOSPITAL,FL,Nurse Communication,79.75,500,4,0
100175,DESOTO MEMORIAL HOSPITAL,FL,Doctor Communication,83.00,500,4,0
100175,DESOTO MEMORIAL HOSPITAL,FL,Recommendation,67.00,125,1,0
100175,DESOTO MEMORIAL HOSPITAL,FL,Overall Rating,64.00,125,1,0
100175,DESOTO MEMORIAL HOSPITAL,FL,Medicine Communication,64.00,375,3,0
100296,DOCTORS HOSPITAL,FL,Discharge Information,84.67,1590,3,0
100296,DOCTORS HOSPITAL,FL,Nurse Communication,77.25,2120,4,0
